"art_id","abstr"
"29","In this letter, we propose a new prediction block filter that can reduce errors between the original and prediction blocks. The proposed filter adaptively adjusts filter coefficients by using the previously reconstructed adjacent blocks and their prediction blocks. Then, the filter is selectively applied to the current prediction block according to the rate-distortion optimization. Moreover, since the same filter coefficients can be derived in the decoder, they are not encoded into the bit-stream. The proposed method achieves a 4.65% bitrate saving on average compared with H.264/AVC. 짤 2012 ETRI."
"69227","This study introduces CR-M-SpanBERT, a coreference resolution (CR) model that utilizes multiple embedding-based span bidirectional encoder representations from transformers, for antecedent recognition in natural language (NL) text. Information extraction studies aimed to extract knowledge from NL text autonomously and cost-effectively. However, the extracted information may not represent knowledge accurately owing to the presence of ambiguous entities. Therefore, we propose a CR model that identifies mentions referring to the same entity in NL text. In the case of CR, it is necessary to understand both the syntax and semantics of the NL text simultaneously. Therefore, multiple embeddings are generated for CR, which can include syntactic and semantic information for each word. We evaluate the effectiveness of CRM-SpanBERT by comparing it to a model that uses SpanBERT as the language model in CR studies. The results demonstrate that our proposed deep neural network model achieves high-recognition accuracy for extracting antecedents from NL text. Additionally, it requires fewer epochs to achieve an average F1 accuracy greater than 75% compared with the conventional SpanBERT approach."
